;Scopy version,dda5ec6
;Exported on,Friday January 14/01/2022
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
633,-0.000967,0.133588,0.495823
634,-0.000966,0.138142,0.495823
635,-0.000965,0.13966,0.497341
636,-0.000964,0.144214,0.497341
637,-0.000963,0.14725,0.495823
638,-0.000962,0.150286,0.495823
639,-0.000961,0.153322,0.495823
640,-0.00096,0.159395,0.495823
641,-0.000959,0.160913,0.497341
642,-0.000958,0.165467,0.497341
643,-0.000957,0.165467,0.497341
644,-0.000956,0.171539,0.497341
645,-0.000955,0.174575,0.495823
646,-0.000954,0.177611,0.497341
647,-0.000953,0.182165,0.497341
648,-0.000952,0.183683,0.494305
649,-0.000951,0.188237,0.497341
650,-0.00095,0.189756,0.497341
651,-0.000949,0.195828,0.497341
652,-0.000948,0.195828,0.497341
653,-0.000947,0.200382,0.497341
654,-0.000946,0.203418,0.497341
655,-0.000945,0.206454,0.495823
656,-0.000944,0.207972,0.497341
657,-0.000943,0.211008,0.497341
658,-0.000942,0.215562,0.497341
659,-0.000941,0.218598,0.497341
660,-0.00094,0.221634,0.498859
661,-0.000939,0.221634,0.497341
662,-0.000938,0.226189,0.495823
663,-0.000937,0.226189,0.495823
664,-0.000936,0.230743,0.497341
665,-0.000935,0.233779,0.497341
666,-0.000934,0.235297,0.498859
667,-0.000933,0.236815,0.498859
668,-0.000932,0.241369,0.495823
669,-0.000931,0.242887,0.498859
670,-0.00093,0.245923,0.494305
671,-0.000929,0.248959,0.497341
672,-0.000928,0.248959,0.498859
673,-0.000927,0.253513,0.497341
674,-0.000926,0.253513,0.497341
675,-0.000925,0.258068,0.497341
